order_id,restaurant_name,location,order_time,delivery_time,delivery_duration_min,pizza_size,pizza_type,toppings_count,distance_km,traffic_level,payment_method,is_peak_hour,is_weekend,delivery_efficiency_min_per_km,topping_density,order_month,payment_category,estimated_duration_min,delay_min,is_delayed,pizza_complexity,traffic_impact,order_hour,restaurant_avg_time,order_date,order_year,order_month_num,pizza_size_score,pizza_size_code,pizza_size_label,order_period,order_weekday,order_weekday_name,time_segment,complexity_band,distance_band,split
ORD001,Domino's,"New York, NY",2024-01-05 18:30:00,2024-01-05 18:45:00,15,Medium,Veg,3,2.5,Medium,Card,True,False,6.0,1.2,January,Online,6.0,9.0,False,6,2,18,30.25943396226415,2024-01-05,2024,1,2,02,02_Medium,2024-01,4,Friday,Dinner,Medium,0-3 km,train
ORD003,Little Caesars,"Chicago, IL",2024-03-21 12:15:00,2024-03-21 12:35:00,20,Small,Vegan,2,3.0,Low,UPI,False,False,6.666666666666667,0.6666666666666666,March,Online,7.199999999999999,12.8,False,2,1,12,28.84422110552764,2024-03-21,2024,3,1,01,01_Small,2024-03,3,Thursday,Lunch,Low,0-3 km,train
ORD004,Pizza Hut,"Miami, FL",2024-04-10 19:45:00,2024-04-10 20:10:00,25,XL,Cheese Burst,5,4.5,Medium,Cash,True,False,5.555555555555555,1.111111111111111,April,Offline,10.8,14.2,False,20,2,19,29.94845360824742,2024-04-10,2024,4,4,04,04_XL,2024-04,2,Wednesday,Dinner,Very High,3-6 km,train
ORD007,Papa John's,"Los Angeles, CA",2024-01-07 20:15:00,2024-01-07 20:40:00,25,Large,Veg,4,4.5,Medium,UPI,True,True,5.555555555555555,0.8888888888888888,January,Online,10.8,14.2,False,12,2,20,28.18627450980392,2024-01-07,2024,1,3,03,03_Large,2024-01,6,Sunday,Dinner,High,3-6 km,train
ORD008,Little Caesars,"Chicago, IL",2024-01-08 18:30:00,2024-01-08 18:50:00,20,Small,Vegan,2,2.0,Low,Cash,True,False,10.0,1.0,January,Offline,4.8,15.2,False,2,1,18,28.84422110552764,2024-01-08,2024,1,1,01,01_Small,2024-01,0,Monday,Dinner,Low,0-3 km,train
ORD010,Marco's Pizza,"Dallas, TX",2024-01-10 13:00:00,2024-01-10 13:20:00,20,Medium,Non-Veg,3,3.5,Medium,Card,False,False,5.714285714285714,0.8571428571428571,January,Online,8.4,11.6,False,6,2,13,30.28645833333333,2024-01-10,2024,1,2,02,02_Medium,2024-01,2,Wednesday,Lunch,Medium,3-6 km,train
ORD011,Domino's,"San Francisco, CA",2024-01-11 17:30:00,2024-01-11 17:50:00,20,Large,Veg,4,4.0,Low,UPI,False,False,5.0,1.0,January,Online,9.6,10.4,False,12,1,17,30.25943396226415,2024-01-11,2024,1,3,03,03_Large,2024-01,3,Thursday,Dinner,High,3-6 km,train
ORD012,Papa John's,"Houston, TX",2024-01-12 19:00:00,2024-01-12 19:25:00,25,Medium,Non-Veg,3,3.0,Medium,Cash,True,False,8.333333333333334,1.0,January,Offline,7.199999999999999,17.8,False,6,2,19,28.18627450980392,2024-01-12,2024,1,2,02,02_Medium,2024-01,4,Friday,Dinner,Medium,0-3 km,train
ORD013,Little Caesars,"Phoenix, AZ",2024-01-13 18:15:00,2024-01-13 18:35:00,20,Small,Vegan,2,2.5,High,Wallet,True,True,8.0,0.8,January,Online,6.0,14.0,False,2,3,18,28.84422110552764,2024-01-13,2024,1,1,01,01_Small,2024-01,5,Saturday,Dinner,Low,0-3 km,train
ORD016,Domino's,"Denver, CO",2024-01-16 19:45:00,2024-01-16 20:10:00,25,Large,Veg,4,4.5,High,Cash,True,False,5.555555555555555,0.8888888888888888,January,Offline,10.8,14.2,False,12,3,19,30.25943396226415,2024-01-16,2024,1,3,03,03_Large,2024-01,1,Tuesday,Dinner,High,3-6 km,train
ORD019,Pizza Hut,"Los Angeles, CA",2024-01-19 19:15:00,2024-01-19 19:40:00,25,XL,Cheese Burst,5,4.0,High,UPI,True,False,6.25,1.25,January,Online,9.6,15.4,False,20,3,19,29.94845360824742,2024-01-19,2024,1,4,04,04_XL,2024-01,4,Friday,Dinner,Very High,3-6 km,train
ORD020,Marco's Pizza,"Chicago, IL",2024-01-20 13:30:00,2024-01-20 13:50:00,20,Medium,Non-Veg,3,3.0,Low,Cash,False,True,6.666666666666667,1.0,January,Offline,7.199999999999999,12.8,False,6,1,13,30.28645833333333,2024-01-20,2024,1,2,02,02_Medium,2024-01,5,Saturday,Lunch,Medium,0-3 km,train
ORD023,Little Caesars,"Houston, TX",2024-01-23 19:30:00,2024-01-23 19:50:00,20,Medium,Non-Veg,3,3.5,Low,UPI,True,False,5.714285714285714,0.8571428571428571,January,Online,8.4,11.6,False,6,1,19,28.84422110552764,2024-01-23,2024,1,2,02,02_Medium,2024-01,1,Tuesday,Dinner,Medium,3-6 km,train
ORD024,Pizza Hut,"Phoenix, AZ",2024-01-24 18:15:00,2024-01-24 18:40:00,25,XL,Cheese Burst,5,4.0,Medium,Cash,True,False,6.25,1.25,January,Offline,9.6,15.4,False,20,2,18,29.94845360824742,2024-01-24,2024,1,4,04,04_XL,2024-01,2,Wednesday,Dinner,Very High,3-6 km,train
ORD025,Marco's Pizza,"Atlanta, GA",2024-01-25 14:30:00,2024-01-25 14:50:00,20,Medium,Non-Veg,3,3.0,High,Wallet,False,False,6.666666666666667,1.0,January,Online,7.199999999999999,12.8,False,6,3,14,30.28645833333333,2024-01-25,2024,1,2,02,02_Medium,2024-01,3,Thursday,Lunch,Medium,0-3 km,train
ORD026,Domino's,"Seattle, WA",2024-01-26 20:00:00,2024-01-26 20:25:00,25,Large,Veg,4,4.5,Low,Card,True,False,5.555555555555555,0.8888888888888888,January,Online,10.8,14.2,False,12,1,20,30.25943396226415,2024-01-26,2024,1,3,03,03_Large,2024-01,4,Friday,Dinner,High,3-6 km,train
ORD029,Pizza Hut,"Chicago, IL",2024-01-29 20:00:00,2024-01-29 20:25:00,25,XL,Cheese Burst,5,4.0,Low,Wallet,True,False,6.25,1.25,January,Online,9.6,15.4,False,20,1,20,29.94845360824742,2024-01-29,2024,1,4,04,04_XL,2024-01,0,Monday,Dinner,Very High,3-6 km,train
ORD030,Marco's Pizza,"Miami, FL",2024-01-30 13:15:00,2024-01-30 13:35:00,20,Medium,Non-Veg,3,3.0,Medium,Card,False,False,6.666666666666667,1.0,January,Online,7.199999999999999,12.8,False,6,2,13,30.28645833333333,2024-01-30,2024,1,2,02,02_Medium,2024-01,1,Tuesday,Lunch,Medium,0-3 km,train
ORD031,Domino's,"Los Angeles, CA",2024-02-01 19:45:00,2024-02-01 20:10:00,25,Large,Veg,4,4.5,High,UPI,True,False,5.555555555555555,0.8888888888888888,February,Online,10.8,14.2,False,12,3,19,30.25943396226415,2024-02-01,2024,2,3,03,03_Large,2024-02,3,Thursday,Dinner,High,3-6 km,train
ORD032,Papa John's,"Phoenix, AZ",2024-02-02 18:00:00,2024-02-02 18:25:00,25,Small,Vegan,2,2.0,Low,Cash,True,False,12.5,1.0,February,Offline,4.8,20.2,False,2,1,18,28.18627450980392,2024-02-02,2024,2,1,01,01_Small,2024-02,4,Friday,Dinner,Low,0-3 km,train
ORD034,Pizza Hut,"Dallas, TX",2024-02-04 14:15:00,2024-02-04 14:35:00,20,XL,Cheese Burst,5,4.0,High,Card,False,True,5.0,1.25,February,Online,9.6,10.4,False,20,3,14,29.94845360824742,2024-02-04,2024,2,4,04,04_XL,2024-02,6,Sunday,Lunch,Very High,3-6 km,train
ORD039,Pizza Hut,"Dallas, TX",2024-02-09 18:15:00,2024-02-09 18:40:00,25,XL,Cheese Burst,5,4.0,Medium,Wallet,True,False,6.25,1.25,February,Online,9.6,15.4,False,20,2,18,29.94845360824742,2024-02-09,2024,2,4,04,04_XL,2024-02,4,Friday,Dinner,Very High,3-6 km,train
ORD040,Marco's Pizza,"Seattle, WA",2024-02-10 14:30:00,2024-02-10 14:50:00,20,Medium,Non-Veg,3,3.5,High,Card,False,True,5.714285714285714,0.8571428571428571,February,Online,8.4,11.6,False,6,3,14,30.28645833333333,2024-02-10,2024,2,2,02,02_Medium,2024-02,5,Saturday,Lunch,Medium,3-6 km,train
ORD042,Papa John's,"Boston, MA",2024-02-12 20:15:00,2024-02-12 20:40:00,25,Small,Vegan,2,2.0,Medium,Cash,True,False,12.5,1.0,February,Offline,4.8,20.2,False,2,2,20,28.18627450980392,2024-02-12,2024,2,1,01,01_Small,2024-02,0,Monday,Dinner,Low,0-3 km,train
ORD043,Little Caesars,"Dallas, TX",2024-02-13 18:30:00,2024-02-13 18:50:00,20,Medium,Non-Veg,3,3.0,High,Wallet,True,False,6.666666666666667,1.0,February,Online,7.199999999999999,12.8,False,6,3,18,28.84422110552764,2024-02-13,2024,2,2,02,02_Medium,2024-02,1,Tuesday,Dinner,Medium,0-3 km,train
ORD044,Pizza Hut,"Los Angeles, CA",2024-02-14 19:45:00,2024-02-14 20:10:00,25,XL,Cheese Burst,5,5.0,Low,Card,True,False,5.0,1.0,February,Online,12.0,13.0,False,20,1,19,29.94845360824742,2024-02-14,2024,2,4,04,04_XL,2024-02,2,Wednesday,Dinner,Very High,3-6 km,train
ORD045,Marco's Pizza,"Chicago, IL",2024-02-15 13:00:00,2024-02-15 13:20:00,20,Medium,Non-Veg,3,3.5,Medium,UPI,False,False,5.714285714285714,0.8571428571428571,February,Online,8.4,11.6,False,6,2,13,30.28645833333333,2024-02-15,2024,2,2,02,02_Medium,2024-02,3,Thursday,Lunch,Medium,3-6 km,train
ORD047,Papa John's,"Dallas, TX",2024-02-17 20:00:00,2024-02-17 20:25:00,25,Medium,Non-Veg,3,3.0,Low,Wallet,True,True,8.333333333333334,1.0,February,Online,7.199999999999999,17.8,False,6,1,20,28.18627450980392,2024-02-17,2024,2,2,02,02_Medium,2024-02,5,Saturday,Dinner,Medium,0-3 km,train
ORD050,Marco's Pizza,"Atlanta, GA",2024-02-20 14:45:00,2024-02-20 15:05:00,20,Medium,Non-Veg,3,3.0,Low,Cash,False,False,6.666666666666667,1.0,February,Offline,7.199999999999999,12.8,False,6,1,14,30.28645833333333,2024-02-20,2024,2,2,02,02_Medium,2024-02,1,Tuesday,Lunch,Medium,0-3 km,train
ORD051,Domino's,"Seattle, WA",2024-02-21 19:00:00,2024-02-21 19:20:00,20,Large,Veg,4,4.0,Medium,Wallet,True,False,5.0,1.0,February,Online,9.6,10.4,False,12,2,19,30.25943396226415,2024-02-21,2024,2,3,03,03_Large,2024-02,2,Wednesday,Dinner,High,3-6 km,train
ORD052,Papa John's,"Denver, CO",2024-02-22 20:15:00,2024-02-22 20:40:00,25,Small,Vegan,2,2.0,High,Card,True,False,12.5,1.0,February,Online,4.8,20.2,False,2,3,20,28.18627450980392,2024-02-22,2024,2,1,01,01_Small,2024-02,3,Thursday,Dinner,Low,0-3 km,train
ORD055,Marco's Pizza,"Miami, FL",2024-02-25 13:00:00,2024-02-25 13:20:00,20,Medium,Non-Veg,3,3.0,High,Wallet,False,True,6.666666666666667,1.0,February,Online,7.199999999999999,12.8,False,6,3,13,30.28645833333333,2024-02-25,2024,2,2,02,02_Medium,2024-02,6,Sunday,Lunch,Medium,0-3 km,train
ORD056,Domino's,"Los Angeles, CA",2024-02-26 18:30:00,2024-02-26 18:50:00,20,Large,Veg,4,4.5,Low,Card,True,False,4.444444444444445,0.8888888888888888,February,Online,10.8,9.200000000000001,False,12,1,18,30.25943396226415,2024-02-26,2024,2,3,03,03_Large,2024-02,0,Monday,Dinner,High,3-6 km,train
ORD057,Papa John's,"Phoenix, AZ",2024-02-27 20:00:00,2024-02-27 20:25:00,25,Medium,Non-Veg,3,3.0,High,UPI,True,False,8.333333333333334,1.0,February,Online,7.199999999999999,17.8,False,6,3,20,28.18627450980392,2024-02-27,2024,2,2,02,02_Medium,2024-02,1,Tuesday,Dinner,Medium,0-3 km,train
ORD058,Little Caesars,"Atlanta, GA",2024-02-28 19:15:00,2024-02-28 19:35:00,20,Small,Vegan,2,2.5,Low,Cash,True,False,8.0,0.8,February,Offline,6.0,14.0,False,2,1,19,28.84422110552764,2024-02-28,2024,2,1,01,01_Small,2024-02,2,Wednesday,Dinner,Low,0-3 km,train
ORD060,Marco's Pizza,"Seattle, WA",2024-03-01 14:45:00,2024-03-01 15:05:00,20,Medium,Non-Veg,3,3.5,High,Card,False,False,5.714285714285714,0.8571428571428571,March,Online,8.4,11.6,False,6,3,14,30.28645833333333,2024-03-01,2024,3,2,02,02_Medium,2024-03,4,Friday,Lunch,Medium,3-6 km,train
ORD061,Domino's,"Denver, CO",2024-03-02 19:00:00,2024-03-02 19:20:00,20,Large,Veg,4,4.0,Low,UPI,True,True,5.0,1.0,March,Online,9.6,10.4,False,12,1,19,30.25943396226415,2024-03-02,2024,3,3,03,03_Large,2024-03,5,Saturday,Dinner,High,3-6 km,train
ORD062,Papa John's,"Boston, MA",2024-03-03 20:15:00,2024-03-03 20:40:00,25,Small,Vegan,2,2.0,Medium,Cash,True,True,12.5,1.0,March,Offline,4.8,20.2,False,2,2,20,28.18627450980392,2024-03-03,2024,3,1,01,01_Small,2024-03,6,Sunday,Dinner,Low,0-3 km,train
ORD064,Pizza Hut,"Los Angeles, CA",2024-03-05 19:45:00,2024-03-05 20:10:00,25,XL,Cheese Burst,5,4.5,Low,Card,True,False,5.555555555555555,1.111111111111111,March,Online,10.8,14.2,False,20,1,19,29.94845360824742,2024-03-05,2024,3,4,04,04_XL,2024-03,1,Tuesday,Dinner,Very High,3-6 km,train
ORD066,Domino's,"Miami, FL",2024-03-07 18:30:00,2024-03-07 18:50:00,20,Large,Veg,4,4.0,High,Card,True,False,5.0,1.0,March,Online,9.6,10.4,False,12,3,18,30.25943396226415,2024-03-07,2024,3,3,03,03_Large,2024-03,3,Thursday,Dinner,High,3-6 km,train
ORD067,Papa John's,"Dallas, TX",2024-03-08 20:00:00,2024-03-08 20:25:00,25,Medium,Non-Veg,3,3.5,Medium,UPI,True,False,7.142857142857143,0.8571428571428571,March,Online,8.4,16.6,False,6,2,20,28.18627450980392,2024-03-08,2024,3,2,02,02_Medium,2024-03,4,Friday,Dinner,Medium,3-6 km,train
ORD068,Little Caesars,"Chicago, IL",2024-03-09 19:15:00,2024-03-09 19:35:00,20,Small,Vegan,2,2.5,Low,Cash,True,True,8.0,0.8,March,Offline,6.0,14.0,False,2,1,19,28.84422110552764,2024-03-09,2024,3,1,01,01_Small,2024-03,5,Saturday,Dinner,Low,0-3 km,train
ORD069,Pizza Hut,"Phoenix, AZ",2024-03-10 19:45:00,2024-03-10 20:10:00,25,XL,Cheese Burst,5,4.5,High,Wallet,True,True,5.555555555555555,1.111111111111111,March,Online,10.8,14.2,False,20,3,19,29.94845360824742,2024-03-10,2024,3,4,04,04_XL,2024-03,6,Sunday,Dinner,Very High,3-6 km,train
ORD070,Marco's Pizza,"Atlanta, GA",2024-03-11 13:00:00,2024-03-11 13:20:00,20,Medium,Non-Veg,3,3.0,Low,Card,False,False,6.666666666666667,1.0,March,Online,7.199999999999999,12.8,False,6,1,13,30.28645833333333,2024-03-11,2024,3,2,02,02_Medium,2024-03,0,Monday,Lunch,Medium,0-3 km,train
ORD071,Domino's,"Seattle, WA",2024-03-12 18:30:00,2024-03-12 18:50:00,20,Large,Veg,4,4.0,Medium,UPI,True,False,5.0,1.0,March,Online,9.6,10.4,False,12,2,18,30.25943396226415,2024-03-12,2024,3,3,03,03_Large,2024-03,1,Tuesday,Dinner,High,3-6 km,train
ORD073,Little Caesars,"Boston, MA",2024-03-14 18:30:00,2024-03-14 18:50:00,20,Medium,Non-Veg,3,3.5,Low,Wallet,True,False,5.714285714285714,0.8571428571428571,March,Online,8.4,11.6,False,6,1,18,28.84422110552764,2024-03-14,2024,3,2,02,02_Medium,2024-03,3,Thursday,Dinner,Medium,3-6 km,train
ORD074,Pizza Hut,"Chicago, IL",2024-03-15 19:45:00,2024-03-15 20:10:00,25,XL,Cheese Burst,5,4.0,Medium,Card,True,False,6.25,1.25,March,Online,9.6,15.4,False,20,2,19,29.94845360824742,2024-03-15,2024,3,4,04,04_XL,2024-03,4,Friday,Dinner,Very High,3-6 km,train
ORD075,Marco's Pizza,"Miami, FL",2024-03-16 13:00:00,2024-03-16 13:20:00,20,Medium,Non-Veg,3,3.0,High,UPI,False,True,6.666666666666667,1.0,March,Online,7.199999999999999,12.8,False,6,3,13,30.28645833333333,2024-03-16,2024,3,2,02,02_Medium,2024-03,5,Saturday,Lunch,Medium,0-3 km,train
ORD076,Domino's,"Los Angeles, CA",2024-03-17 18:30:00,2024-03-17 18:50:00,20,Large,Veg,4,4.5,Low,Cash,True,True,4.444444444444445,0.8888888888888888,March,Offline,10.8,9.200000000000001,False,12,1,18,30.25943396226415,2024-03-17,2024,3,3,03,03_Large,2024-03,6,Sunday,Dinner,High,3-6 km,train
ORD077,Papa John's,"Phoenix, AZ",2024-03-18 20:00:00,2024-03-18 20:25:00,25,Medium,Non-Veg,3,3.0,High,Wallet,True,False,8.333333333333334,1.0,March,Online,7.199999999999999,17.8,False,6,3,20,28.18627450980392,2024-03-18,2024,3,2,02,02_Medium,2024-03,0,Monday,Dinner,Medium,0-3 km,train
ORD078,Little Caesars,"Atlanta, GA",2024-03-19 19:15:00,2024-03-19 19:35:00,20,Small,Vegan,2,2.5,Low,Card,True,False,8.0,0.8,March,Online,6.0,14.0,False,2,1,19,28.84422110552764,2024-03-19,2024,3,1,01,01_Small,2024-03,1,Tuesday,Dinner,Low,0-3 km,train
ORD079,Pizza Hut,"Dallas, TX",2024-03-20 19:45:00,2024-03-20 20:10:00,25,XL,Cheese Burst,5,4.0,Medium,UPI,True,False,6.25,1.25,March,Online,9.6,15.4,False,20,2,19,29.94845360824742,2024-03-20,2024,3,4,04,04_XL,2024-03,2,Wednesday,Dinner,Very High,3-6 km,train
ORD080,Marco's Pizza,"Seattle, WA",2024-03-21 13:00:00,2024-03-21 13:20:00,20,Medium,Non-Veg,3,3.5,High,Cash,False,False,5.714285714285714,0.8571428571428571,March,Offline,8.4,11.6,False,6,3,13,30.28645833333333,2024-03-21,2024,3,2,02,02_Medium,2024-03,3,Thursday,Lunch,Medium,3-6 km,train
ORD082,Papa John's,"Boston, MA",2024-03-23 20:15:00,2024-03-23 20:40:00,25,Small,Vegan,2,2.0,High,Card,True,True,12.5,1.0,March,Online,4.8,20.2,False,2,3,20,28.18627450980392,2024-03-23,2024,3,1,01,01_Small,2024-03,5,Saturday,Dinner,Low,0-3 km,train
ORD083,Little Caesars,"Dallas, TX",2024-03-24 18:30:00,2024-03-24 18:50:00,20,Medium,Non-Veg,3,3.0,High,UPI,True,True,6.666666666666667,1.0,March,Online,7.199999999999999,12.8,False,6,3,18,28.84422110552764,2024-03-24,2024,3,2,02,02_Medium,2024-03,6,Sunday,Dinner,Medium,0-3 km,train
ORD084,Pizza Hut,"Los Angeles, CA",2024-03-25 19:45:00,2024-03-25 20:10:00,25,XL,Cheese Burst,5,4.5,Low,Cash,True,False,5.555555555555555,1.111111111111111,March,Offline,10.8,14.2,False,20,1,19,29.94845360824742,2024-03-25,2024,3,4,04,04_XL,2024-03,0,Monday,Dinner,Very High,3-6 km,train
ORD085,Marco's Pizza,"Chicago, IL",2024-03-26 13:00:00,2024-03-26 13:20:00,20,Medium,Non-Veg,3,3.5,Medium,Wallet,False,False,5.714285714285714,0.8571428571428571,March,Online,8.4,11.6,False,6,2,13,30.28645833333333,2024-03-26,2024,3,2,02,02_Medium,2024-03,1,Tuesday,Lunch,Medium,3-6 km,train
ORD087,Papa John's,"Dallas, TX",2024-03-28 20:00:00,2024-03-28 20:25:00,25,Medium,Non-Veg,3,3.0,Low,UPI,True,False,8.333333333333334,1.0,March,Online,7.199999999999999,17.8,False,6,1,20,28.18627450980392,2024-03-28,2024,3,2,02,02_Medium,2024-03,3,Thursday,Dinner,Medium,0-3 km,train
ORD089,Pizza Hut,"Phoenix, AZ",2024-03-30 19:45:00,2024-03-30 20:10:00,25,XL,Cheese Burst,5,4.5,High,Wallet,True,True,5.555555555555555,1.111111111111111,March,Online,10.8,14.2,False,20,3,19,29.94845360824742,2024-03-30,2024,3,4,04,04_XL,2024-03,5,Saturday,Dinner,Very High,3-6 km,train
