beta,threshold,precision,recall,fbeta_score,f1,accuracy,balanced_accuracy,mcc,predicted_delayed_rate,tn,fp,fn,tp,is_best_for_beta,operating_goal
1.0,0.0,0.208955,1.0,0.345679,0.345679,0.208955,0.5,0.0,1.0,0,159,0,42,False,balance_precision_recall
1.0,1e-05,0.208955,1.0,0.345679,0.345679,0.208955,0.5,0.0,1.0,0,159,0,42,False,balance_precision_recall
1.0,1.4e-05,0.21,1.0,0.347107,0.347107,0.21393,0.503145,0.036342,0.995025,1,158,0,42,False,balance_precision_recall
1.0,1.5e-05,0.211055,1.0,0.348548,0.348548,0.218905,0.506289,0.051525,0.99005,2,157,0,42,False,balance_precision_recall
1.0,1.5e-05,0.212121,1.0,0.35,0.35,0.223881,0.509434,0.063264,0.985075,3,156,0,42,False,balance_precision_recall
1.0,2.4e-05,0.213198,1.0,0.351464,0.351464,0.228856,0.512579,0.073236,0.9801,4,155,0,42,False,balance_precision_recall
1.0,3.5e-05,0.214286,1.0,0.352941,0.352941,0.233831,0.515723,0.082089,0.975124,5,154,0,42,False,balance_precision_recall
1.0,4e-05,0.215385,1.0,0.35443,0.35443,0.238806,0.518868,0.090154,0.970149,6,153,0,42,False,balance_precision_recall
1.0,4.5e-05,0.216495,1.0,0.355932,0.355932,0.243781,0.522013,0.097628,0.965174,7,152,0,42,False,balance_precision_recall
1.0,5.6e-05,0.217617,1.0,0.357447,0.357447,0.248756,0.525157,0.104639,0.960199,8,151,0,42,False,balance_precision_recall
1.0,6.5e-05,0.21875,1.0,0.358974,0.358974,0.253731,0.528302,0.111275,0.955224,9,150,0,42,False,balance_precision_recall
1.0,7.1e-05,0.219895,1.0,0.360515,0.360515,0.258706,0.531447,0.117601,0.950249,10,149,0,42,False,balance_precision_recall
1.0,0.000123,0.221053,1.0,0.362069,0.362069,0.263682,0.534591,0.123665,0.945274,11,148,0,42,False,balance_precision_recall
1.0,0.000151,0.222222,1.0,0.363636,0.363636,0.268657,0.537736,0.129505,0.940299,12,147,0,42,False,balance_precision_recall
1.0,0.000181,0.223404,1.0,0.365217,0.365217,0.273632,0.540881,0.135151,0.935323,13,146,0,42,False,balance_precision_recall
1.0,0.000183,0.224599,1.0,0.366812,0.366812,0.278607,0.544025,0.140627,0.930348,14,145,0,42,False,balance_precision_recall
1.0,0.000234,0.225806,1.0,0.368421,0.368421,0.283582,0.54717,0.145954,0.925373,15,144,0,42,False,balance_precision_recall
1.0,0.000255,0.227027,1.0,0.370044,0.370044,0.288557,0.550314,0.151147,0.920398,16,143,0,42,False,balance_precision_recall
1.0,0.000274,0.228261,1.0,0.371681,0.371681,0.293532,0.553459,0.156222,0.915423,17,142,0,42,False,balance_precision_recall
1.0,0.000301,0.229508,1.0,0.373333,0.373333,0.298507,0.556604,0.16119,0.910448,18,141,0,42,False,balance_precision_recall
1.0,0.000339,0.230769,1.0,0.375,0.375,0.303483,0.559748,0.166061,0.905473,19,140,0,42,False,balance_precision_recall
1.0,0.000351,0.232044,1.0,0.376682,0.376682,0.308458,0.562893,0.170845,0.900498,20,139,0,42,False,balance_precision_recall
1.0,0.000351,0.233333,1.0,0.378378,0.378378,0.313433,0.566038,0.175549,0.895522,21,138,0,42,False,balance_precision_recall
1.0,0.000371,0.234637,1.0,0.38009,0.38009,0.318408,0.569182,0.180182,0.890547,22,137,0,42,False,balance_precision_recall
1.0,0.000388,0.235955,1.0,0.381818,0.381818,0.323383,0.572327,0.184748,0.885572,23,136,0,42,False,balance_precision_recall
1.0,0.000395,0.237288,1.0,0.383562,0.383562,0.328358,0.575472,0.189254,0.880597,24,135,0,42,False,balance_precision_recall
1.0,0.00058,0.24,1.0,0.387097,0.387097,0.338308,0.581761,0.198104,0.870647,26,133,0,42,False,balance_precision_recall
1.0,0.000625,0.241379,1.0,0.388889,0.388889,0.343284,0.584906,0.202457,0.865672,27,132,0,42,False,balance_precision_recall
1.0,0.000632,0.242775,1.0,0.390698,0.390698,0.348259,0.58805,0.206767,0.860697,28,131,0,42,False,balance_precision_recall
1.0,0.000678,0.244186,1.0,0.392523,0.392523,0.353234,0.591195,0.211038,0.855721,29,130,0,42,False,balance_precision_recall
1.0,0.000687,0.245614,1.0,0.394366,0.394366,0.358209,0.59434,0.215273,0.850746,30,129,0,42,False,balance_precision_recall
1.0,0.00075,0.247059,1.0,0.396226,0.396226,0.363184,0.597484,0.219474,0.845771,31,128,0,42,False,balance_precision_recall
1.0,0.0008,0.248521,1.0,0.398104,0.398104,0.368159,0.600629,0.223644,0.840796,32,127,0,42,False,balance_precision_recall
1.0,0.000822,0.25,1.0,0.4,0.4,0.373134,0.603774,0.227787,0.835821,33,126,0,42,False,balance_precision_recall
1.0,0.000837,0.251497,1.0,0.401914,0.401914,0.378109,0.606918,0.231904,0.830846,34,125,0,42,False,balance_precision_recall
1.0,0.000848,0.253012,1.0,0.403846,0.403846,0.383085,0.610063,0.235997,0.825871,35,124,0,42,False,balance_precision_recall
1.0,0.000854,0.254545,1.0,0.405797,0.405797,0.38806,0.613208,0.240069,0.820896,36,123,0,42,False,balance_precision_recall
1.0,0.000965,0.256098,1.0,0.407767,0.407767,0.393035,0.616352,0.244121,0.81592,37,122,0,42,False,balance_precision_recall
1.0,0.000967,0.257669,1.0,0.409756,0.409756,0.39801,0.619497,0.248156,0.810945,38,121,0,42,False,balance_precision_recall
1.0,0.001026,0.259259,1.0,0.411765,0.411765,0.402985,0.622642,0.252174,0.80597,39,120,0,42,False,balance_precision_recall
1.0,0.0011,0.26087,1.0,0.413793,0.413793,0.40796,0.625786,0.256179,0.800995,40,119,0,42,False,balance_precision_recall
1.0,0.001501,0.2625,1.0,0.415842,0.415842,0.412935,0.628931,0.26017,0.79602,41,118,0,42,False,balance_precision_recall
1.0,0.001501,0.264151,1.0,0.41791,0.41791,0.41791,0.632075,0.264151,0.791045,42,117,0,42,False,balance_precision_recall
1.0,0.001825,0.265823,1.0,0.42,0.42,0.422886,0.63522,0.268122,0.78607,43,116,0,42,False,balance_precision_recall
1.0,0.00205,0.267516,1.0,0.422111,0.422111,0.427861,0.638365,0.272084,0.781095,44,115,0,42,False,balance_precision_recall
1.0,0.002434,0.269231,1.0,0.424242,0.424242,0.432836,0.641509,0.276039,0.776119,45,114,0,42,False,balance_precision_recall
1.0,0.002825,0.270968,1.0,0.426396,0.426396,0.437811,0.644654,0.279988,0.771144,46,113,0,42,False,balance_precision_recall
1.0,0.002942,0.272727,1.0,0.428571,0.428571,0.442786,0.647799,0.283932,0.766169,47,112,0,42,False,balance_precision_recall
