order_period,pizza_size_label,orders,share_within_month
2024-01,01_Small,5,0.192308
2024-01,02_Medium,11,0.423077
2024-01,03_Large,5,0.192308
2024-01,04_XL,5,0.192308
2024-02,01_Small,6,0.2
2024-02,02_Medium,11,0.366667
2024-02,03_Large,7,0.233333
2024-02,04_XL,6,0.2
2024-03,01_Small,7,0.21875
2024-03,02_Medium,13,0.40625
2024-03,03_Large,6,0.1875
2024-03,04_XL,6,0.1875
2024-04,01_Small,6,0.193548
2024-04,02_Medium,12,0.387097
2024-04,03_Large,6,0.193548
2024-04,04_XL,7,0.225806
2024-05,01_Small,1,0.166667
2024-05,02_Medium,3,0.5
2024-05,03_Large,1,0.166667
2024-05,04_XL,1,0.166667
2024-06,01_Small,2,0.181818
2024-06,02_Medium,5,0.454545
2024-06,03_Large,2,0.181818
2024-06,04_XL,2,0.181818
2024-07,01_Small,6,0.193548
2024-07,02_Medium,12,0.387097
2024-07,03_Large,7,0.225806
2024-07,04_XL,6,0.193548
2024-08,01_Small,18,0.209302
2024-08,02_Medium,30,0.348837
2024-08,03_Large,21,0.244186
2024-08,04_XL,17,0.197674
2024-09,01_Small,15,0.2
2024-09,02_Medium,24,0.32
2024-09,03_Large,22,0.293333
2024-09,04_XL,14,0.186667
2024-10,01_Small,9,0.204545
2024-10,02_Medium,15,0.340909
2024-10,03_Large,11,0.25
2024-10,04_XL,9,0.204545
2024-11,01_Small,6,0.2
2024-11,02_Medium,8,0.266667
2024-11,03_Large,10,0.333333
2024-11,04_XL,6,0.2
2024-12,01_Small,8,0.195122
2024-12,02_Medium,13,0.317073
2024-12,03_Large,12,0.292683
2024-12,04_XL,8,0.195122
2025-01,01_Small,6,0.193548
2025-01,02_Medium,8,0.258065
2025-01,03_Large,10,0.322581
2025-01,04_XL,7,0.225806
2025-02,01_Small,6,0.214286
2025-02,02_Medium,8,0.285714
2025-02,03_Large,8,0.285714
2025-02,04_XL,6,0.214286
2025-03,01_Small,7,0.225806
2025-03,02_Medium,9,0.290323
2025-03,03_Large,8,0.258065
2025-03,04_XL,7,0.225806
2025-04,01_Small,6,0.2
2025-04,02_Medium,9,0.3
2025-04,03_Large,10,0.333333
2025-04,04_XL,5,0.166667
2025-05,01_Small,6,0.193548
2025-05,02_Medium,11,0.354839
2025-05,03_Large,8,0.258065
2025-05,04_XL,6,0.193548
2025-06,01_Small,8,0.16
2025-06,02_Medium,15,0.3
2025-06,03_Large,18,0.36
2025-06,04_XL,9,0.18
2025-07,01_Small,1,0.090909
2025-07,02_Medium,4,0.363636
2025-07,03_Large,4,0.363636
2025-07,04_XL,2,0.181818
2025-08,01_Small,3,0.096774
2025-08,02_Medium,15,0.483871
2025-08,03_Large,7,0.225806
2025-08,04_XL,6,0.193548
2025-09,02_Medium,18,0.6
2025-09,03_Large,6,0.2
2025-09,04_XL,6,0.2
2025-10,02_Medium,19,0.612903
2025-10,03_Large,5,0.16129
2025-10,04_XL,7,0.225806
2025-11,02_Medium,18,0.6
2025-11,03_Large,6,0.2
2025-11,04_XL,6,0.2
2025-12,02_Medium,24,0.615385
2025-12,03_Large,6,0.153846
2025-12,04_XL,9,0.230769
2026-01,02_Medium,19,0.612903
2026-01,03_Large,6,0.193548
2026-01,04_XL,6,0.193548
2026-02,02_Medium,17,0.607143
2026-02,03_Large,5,0.178571
2026-02,04_XL,6,0.214286
2026-03,02_Medium,18,0.580645
2026-03,03_Large,6,0.193548
2026-03,04_XL,7,0.225806
2026-04,02_Medium,19,0.633333
2026-04,03_Large,5,0.166667
2026-04,04_XL,6,0.2
2026-05,02_Medium,18,0.580645
2026-05,03_Large,6,0.193548
2026-05,04_XL,7,0.225806
2026-06,02_Medium,19,0.633333
2026-06,03_Large,5,0.166667
2026-06,04_XL,6,0.2
2026-07,02_Medium,4,0.571429
2026-07,03_Large,1,0.142857
2026-07,04_XL,2,0.285714
