,precision,recall,f1-score,support
injured_or_dead_people,0.2202,0.6316,0.3265,38.0
missing_or_found_people,0.0435,0.2,0.0714,5.0
rescue_volunteering_or_donation_effort,0.5262,0.5468,0.5363,331.0
infrastructure_and_utility_damage,0.4925,0.5305,0.5108,311.0
affected_individuals,0.2124,0.5,0.2982,82.0
vehicle_damage,0.1385,0.5,0.2169,18.0
other_relevant_information,0.6588,0.4938,0.5645,563.0
not_humanitarian,0.7507,0.62,0.6791,821.0
accuracy,0.5569,0.5569,0.5569,0.5569
macro avg,0.3803,0.5028,0.4005,2169.0
weighted avg,0.6192,0.5569,0.5776,2169.0
