,precision,recall,f1-score,support
injured_or_dead_people,0.193548,0.642857,0.297521,28.0
missing_or_found_people,0.045455,0.25,0.076923,4.0
rescue_volunteering_or_donation_effort,0.521472,0.559211,0.539683,304.0
infrastructure_and_utility_damage,0.488599,0.526316,0.506757,285.0
affected_individuals,0.213483,0.493506,0.298039,77.0
vehicle_damage,0.105263,0.4,0.166667,15.0
other_relevant_information,0.659033,0.489603,0.561822,529.0
not_humanitarian,0.748476,0.621519,0.679115,790.0
accuracy,0.557579,0.557579,0.557579,0.557579
macro avg,0.371916,0.497876,0.390816,2032.0
weighted avg,0.620729,0.557579,0.578878,2032.0
