Task,Metric,Canonical,Robust,Delta
Informative Fusion,Accuracy,0.69479,0.689961,-0.00483
Informative Fusion,Balanced Accuracy,0.594369,0.596492,0.002122
Informative Fusion,Precision,0.67554,0.669359,-0.006181
Informative Fusion,Recall,0.988244,0.987292,-0.000952
Informative Fusion,F1,0.802506,0.797818,-0.004688
Informative Fusion,F2,0.904506,0.901639,-0.002866
Informative Fusion,MCC,0.332469,0.333963,0.001494
Informative Fusion,Average Precision,0.891343,0.887594,-0.003749
Humanitarian Fusion,Accuracy,0.556939,0.557579,0.00064
Humanitarian Fusion,Macro F1,0.400466,0.390816,-0.00965
Humanitarian Fusion,Weighted F1,0.577619,0.578878,0.001259
Manual Review,Accuracy,0.557861,0.560531,0.002671
Manual Review,Balanced Accuracy,0.593802,0.594548,0.000746
Manual Review,Precision,0.753247,0.754032,0.000786
Manual Review,Recall,0.329545,0.326638,-0.002908
Manual Review,F1,0.458498,0.45582,-0.002678
Manual Review,F2,0.371319,0.3684,-0.002919
Manual Review,MCC,0.215044,0.218328,0.003284
Manual Review,Average Precision,0.709213,0.705774,-0.003439
Manual Review,Review Rate,0.248502,0.244094,-0.004407
Informative Baseline - Prior / majority,Accuracy,0.6275,0.6196,-0.0079
Informative Baseline - Prior / majority,Balanced Accuracy,0.5,0.5,0.0
Informative Baseline - Prior / majority,Precision,0.6275,0.6196,-0.0079
Informative Baseline - Prior / majority,Recall,1.0,1.0,0.0
Informative Baseline - Prior / majority,F1,0.7711,0.7651,-0.006
Informative Baseline - Prior / majority,F2,0.8939,0.8906,-0.0033
Informative Baseline - Prior / majority,MCC,0.0,0.0,0.0
Informative Baseline - Prior / majority,Average Precision,0.6275,0.6196,-0.0079
Informative Baseline - Always informative,Accuracy,0.6275,0.6196,-0.0079
Informative Baseline - Always informative,Balanced Accuracy,0.5,0.5,0.0
Informative Baseline - Always informative,Precision,0.6275,0.6196,-0.0079
Informative Baseline - Always informative,Recall,1.0,1.0,0.0
Informative Baseline - Always informative,F1,0.7711,0.7651,-0.006
Informative Baseline - Always informative,F2,0.8939,0.8906,-0.0033
Informative Baseline - Always informative,MCC,0.0,0.0,0.0
Informative Baseline - Always informative,Average Precision,0.6275,0.6196,-0.0079
Informative Baseline - Always not informative,Accuracy,0.3725,0.3804,0.0079
Informative Baseline - Always not informative,Balanced Accuracy,0.5,0.5,0.0
Informative Baseline - Always not informative,Precision,0.0,0.0,0.0
Informative Baseline - Always not informative,Recall,0.0,0.0,0.0
Informative Baseline - Always not informative,F1,0.0,0.0,0.0
Informative Baseline - Always not informative,F2,0.0,0.0,0.0
Informative Baseline - Always not informative,MCC,0.0,0.0,0.0
Informative Baseline - Always not informative,Average Precision,0.6275,0.6196,-0.0079
Humanitarian Baseline - Train majority,Accuracy,0.3785,0.3888,0.0103
Humanitarian Baseline - Train majority,Balanced Accuracy,0.125,0.125,0.0
Humanitarian Baseline - Train majority,Macro F1,0.0686,0.07,0.0014
Humanitarian Baseline - Train majority,Weighted F1,0.2079,0.2177,0.0098
Humanitarian Baseline - Train majority,MCC,0.0,0.0,0.0
